horizon,vix,segment,n,n_clusters,mean_alpha,p_cluster_ticker,reject_tp,p_bh_adjusted
1w,low,Monologue/Top of Show,762,418,-0.0007431167769028865,0.7584708630222683,False,0.7937485775814436
1w,low,Lightning Round,1314,791,-0.0042869057176560125,0.011445022203468325,False,0.05722511101734162
1w,low,Mid-Show/Interview,996,579,-0.0038633913122489956,0.016840675238350533,False,0.0631525321438145
1w,moderate,Monologue/Top of Show,304,218,0.00042074040789473775,0.9122386484279239,False,0.9122386484279239
1w,moderate,Lightning Round,597,464,-0.0011284249564489112,0.650538791598974,False,0.7506216826142007
1w,moderate,Mid-Show/Interview,480,346,-0.003615671545833332,0.31073098539592525,False,0.4660964780938879
1w,high,Monologue/Top of Show,85,78,-0.004253855211764705,0.678052587402219,False,0.7628091608274964
1w,high,Lightning Round,132,126,-0.008600349295454546,0.3719853824509003,False,0.5072527942512277
1w,high,Mid-Show/Interview,110,103,-0.0022168539272727273,0.7192790937606834,False,0.7706561718864465
1m,low,Monologue/Top of Show,758,417,-0.010802275493403693,0.004815772630053949,True,0.03611829472540462
1m,low,Lightning Round,1304,787,-0.011084357728527608,0.0002655535803173237,True,0.0029874777785698914
1m,low,Mid-Show/Interview,990,577,-0.007078965902020202,0.039190954026483205,False,0.11022455819948401
1m,moderate,Monologue/Top of Show,301,216,0.023043016900332225,0.10798565624563006,False,0.20247310546055636
1m,moderate,Lightning Round,593,462,0.00631333120573356,0.2381586620454148,False,0.36955654455322984
1m,moderate,Mid-Show/Interview,476,343,-0.009353013386554622,0.11687240321529191,False,0.20661166954145005
1m,high,Monologue/Top of Show,84,77,0.025085351523809522,0.04874067839061502,False,0.11052641258714291
1m,high,Lightning Round,131,125,0.04249857901526717,0.0466979687346889,False,0.11052641258714291
1m,high,Mid-Show/Interview,109,102,-0.009286552238532107,0.3697671037889425,False,0.5072527942512277
3m,low,Monologue/Top of Show,743,410,-0.028281294663526243,1.0388228037783165e-05,True,0.0004674702617002424
3m,low,Lightning Round,1285,782,-0.01406565180700389,0.012910525920651672,False,0.058097366642932524
3m,low,Mid-Show/Interview,971,574,-0.02065997778372812,0.00014777546223188054,True,0.002216631933478208
3m,moderate,Monologue/Top of Show,297,214,0.03276823047474747,0.025383147353039703,False,0.07614944205911911
3m,moderate,Lightning Round,586,460,0.004473129930034131,0.6201182910556038,False,0.7506216826142007
3m,moderate,Mid-Show/Interview,470,340,-0.004694393329787235,0.6494129429538331,False,0.7506216826142007
3m,high,Monologue/Top of Show,84,77,0.040930601428571425,0.08824476421992777,False,0.17871344762446345
3m,high,Lightning Round,127,122,0.10722721059055121,0.007148391944026278,True,0.0459539482115975
3m,high,Mid-Show/Interview,105,99,0.02802038294285715,0.12488109287548355,False,0.20813515479247258
6m,low,Monologue/Top of Show,729,404,-0.040020337759945124,3.67907152210023e-05,True,0.0008277910924725518
6m,low,Lightning Round,1256,770,-0.020960354113853503,0.0235215175281136,False,0.07560487776893657
6m,low,Mid-Show/Interview,941,563,-0.027776280142401702,0.002023718361058746,True,0.018213465249528715
6m,moderate,Monologue/Top of Show,291,210,0.03252996130927835,0.04470229986485785,False,0.11052641258714291
6m,moderate,Lightning Round,577,456,-0.0024895752426343167,0.8610681674882283,False,0.8806378985675063
6m,moderate,Mid-Show/Interview,461,335,0.017954067509761393,0.6349357870344725,False,0.7506216826142007
6m,high,Monologue/Top of Show,83,76,0.08417355997590362,0.015164548402218703,False,0.06203678891816742
6m,high,Lightning Round,122,117,0.08139694610655736,0.04912285003873018,False,0.11052641258714291
6m,high,Mid-Show/Interview,100,95,0.01982814906,0.5267411932580348,False,0.6794218166159784
1y,low,Monologue/Top of Show,672,380,-0.036057387749999996,0.022761174309961385,False,0.07560487776893657
1y,low,Lightning Round,1203,744,-0.005966768488778056,0.7019045254765426,False,0.770383015766937
1y,low,Mid-Show/Interview,898,542,-0.021541373393095767,0.18349004030023175,False,0.29489470762537245
1y,moderate,Monologue/Top of Show,283,204,-0.030908199017667847,0.11937563129061557,False,0.20661166954145005
1y,moderate,Lightning Round,555,443,-0.036084872263063054,0.07887965319278645,False,0.16902782827025667
1y,moderate,Mid-Show/Interview,441,326,-0.0281089647256236,0.5284391907013166,False,0.6794218166159784
1y,high,Monologue/Top of Show,81,75,0.10644951032098769,0.09134242878583687,False,0.17871344762446345
1y,high,Lightning Round,117,112,0.17864828019658124,0.008999506216458508,False,0.05062222246757911
1y,high,Mid-Show/Interview,96,91,0.10296089689583336,0.3303779304939951,False,0.47958086684612194
