table,cell,N,G,mean_alpha,p_iid,p_cluster_ticker,p_cluster_two_way,G_b,abs_return,pct_neg_spy,pair_pnl,p_pair_cluster,short_pnl,p_short_cluster,t_cluster_ticker
4,portfolio,258,199,0.03527695691472869,0.20689579159059135,0.2329273451476317,,,,,,,,,
4,hold_rec,1509,691,0.007158070302186877,0.5717432728150131,0.5811261616985073,,,,,,,,,
4,no_hold,3197,1205,-0.028088840840788238,0.004766021475173021,0.009705830036182306,,,,,,,,,
4,no_hold__two_way_ticker_x_month,3197,1205,-0.028088840840788238,,,0.07408680959387737,84.0,,,,,,,
6,Mega-cap,171,49,0.0680301445497076,,0.005985077085534751,,,0.1964517838245614,0.39766081871345027,,,,,
6,Large-cap,1762,518,0.013995720332009085,,0.3288003669424091,,,0.15820452085981837,0.5743473325766175,,,,,
6,Mid-cap,672,304,-0.019411570043154754,,0.4148394843601979,,,0.11916950716369049,0.6101190476190477,,,,,
6,Small-cap,385,238,-0.24521561676883116,,2.6955992993293876e-11,,,-0.1187597181142857,0.787012987012987,,,,,
7,Low (<20),220,162,,,,,,,,0.28009137317272725,2.4156232569794156e-12,0.12505141859090907,0.0032110917224643654,
7,Moderate (20-30),130,100,,,,,,,,0.29859219538461546,2.014987110499078e-08,-0.03504028169230771,0.548801975504476,
7,High (>=30),31,31,,,,,,,,-0.22121579880645162,0.41419399957899206,-0.822024565,0.01061756598466257,
7,Combined <30,350,222,,,,,,,,0.28696310713714285,0.0,0.06558878705714286,0.06396324315208535,
8,SPY,350,222,,,0.0,3.961342365244036e-11,,,,0.28696310713714285,,,,9.404983582765931
8,QQQ,350,222,,,0.0,5.200284647344233e-13,,,,0.3267650782885714,,,,10.825526386980627
8a,<$1B x VIX<25,207,140,,,0.0,,,,,0.3899893620338164,,,,
8a,<$1B x VIX<30,244,152,,,0.0,,,,,0.3496411531926229,,,,
8a,<$1B x VIX<35,259,159,,,8.501825909945637e-10,,,,,0.30647521417760626,,,,
8a,<$1B x no VIX filter,270,164,,,4.98459784559202e-09,,,,,0.28395020912962965,,,,
8a,<$2B x VIX<25,301,205,,,0.0,,,,,0.3190990788571429,,,,
8a,<$2B x VIX<30,350,222,,,0.0,,,,,0.28696310713714285,,,,
8a,<$2B x VIX<35,372,233,,,3.956612815159133e-12,,,,,0.2622777251075269,,,,
8a,<$2B x no VIX filter,385,238,,,2.6955992993293876e-11,,,,,0.24521561676883116,,,,
8a,<$3B x VIX<25,384,247,,,7.993605777301127e-15,,,,,0.2586104616875,,,,
8a,<$3B x VIX<30,440,266,,,9.769962616701378e-15,,,,,0.2407659925772727,,,,
8a,<$3B x VIX<35,466,280,,,2.80144796249715e-11,,,,,0.22433883946351935,,,,
8a,<$3B x no VIX filter,483,285,,,2.748422200937739e-08,,,,,0.19819918679503104,,,,
8a,<$5B x VIX<25,572,347,,,2.6367796834847468e-12,,,,,0.18028869714335666,,,,
8a,<$5B x VIX<30,649,374,,,7.049916206369744e-13,,,,,0.17382379201078582,,,,
8a,<$5B x VIX<35,689,393,,,8.343512769570793e-09,,,,,0.15450869418287372,,,,
8a,<$5B x no VIX filter,709,398,,,3.497269186913954e-06,,,,,0.1323108643892807,,,,
8a,<$10B x VIX<25,863,478,,,2.609867877367833e-11,,,,,0.13529538957705675,,,,
8a,<$10B x VIX<30,985,516,,,6.6699978873430155e-12,,,,,0.12906303412791878,,,,
8a,<$10B x VIX<35,1034,537,,,8.227984293895929e-09,,,,,0.11609627116924565,,,,
8a,<$10B x no VIX filter,1057,542,,,1.436687538935999e-06,,,,,0.10165807712866604,,,,
