signal_id,ticker_symbol,signal_date,reasoning_summary,proof_segments_text,show_segment_heuristic,section_raw
eb8988c0-f58d-48fe-b67a-00773a5177a8,DDD,2021-03-26,Making a comeback despite past meme volatility.,"Yeah, but you know what? They actually are making a comeback. I gotta get them on the show. I mean, it got a little overheated, became one of those stocks. You know, it was like a meme stock for a while. You know, when it, when I realized I had a meme... Whatever. But you know what? I want you to stick with it down here. I believe in 3D. I think you're gonna do okay.",Lightning Round,Lightning Round
8088f3af-6b23-4328-9133-3557973c8001,MMM,2018-07-09,Part of portfolio despite trade concerns.,"my Chappell Trust owns three out of four, 3M, Emerson, Honeywell.",Monologue/Top of Show,
651b0535-2763-4262-9a7f-a8eb1aaf7332,MMM,2021-11-08,Inexpensive with good yield despite setbacks like raw costs.,"it's a very inexpensive stock now, it's got a 3% yield, it's still a good dividend aristocrat. I would not abandon the stock here.",Monologue/Top of Show,
6edb4133-fe71-4adb-abdc-6fda1e3b406e,MMM,2018-09-05,"Company's growth re-accelerating after guide-downs, potential for guide-up, and pays dividend.","my charitable trust owns it / the company's growth had actually re-accelerated / We may get a guide-up next time around / Plus, unlike Facebook, 3M pays you a, a dividend. The stock yield is at 2.6% right now.",Monologue/Top of Show,
222f7d24-7472-446a-812a-cfc9c60b5d2d,MMM,2018-07-24,"Better than expected quarter with strong organic growth, overreaction to sell-off.","Don't sell down when there's nothing wrong, and by the way, if, if you haven't even heard the conference call, whi- which is what happened to 3M, I mean, you're just being silly. / Okay, 3M has been one of the worst stocks in the Dow Jones Industrial Average, but I think after this quarter, and going through the conference call, that the stock has put in a bottom when it touched 190. ... That's actually pretty hard to believe given the fact they have such good organic growth now.",Monologue/Top of Show,
723c6532-4547-4e32-980a-4c58077b3ee2,MMM,2018-10-19,Owns in trust despite recent declines.,"My travel trust owns it, and it's been painful and hurtful.",Monologue/Top of Show,
c254d0f5-f349-4cb7-b2c9-b8a5753951a7,MMM,2018-10-23,Ownership in charitable trust despite disappointing earnings.,My trust owns it.,Monologue/Top of Show,
83b38317-2033-4e2d-9bd2-43b4329d583b,MMM,2018-05-31,Well-run company with exposure to safer industries like healthcare.,"That's the big diversified conglomerate that we own through my charitable trust, which you can follow by joining the actionalertsplus.com club.",Mid-Show/Interview,
7f60178b-1b91-46da-8baf-429c1ada7489,MMM,2018-05-17,Great long-term position despite current bearish pressure.,"I happen to think 3M is a great long-term position, I've always felt that way.",Mid-Show/Interview,
3cfa8ce5-7095-44c1-b00e-e6b36b895527,ABT,2024-08-22,Holding despite lawsuits because Abbott is a great company with strong product lines.,"Okay, I've got the whole lawsuit thing down. We got one more lawsuit that started in September. It's gonna be the same jurisdiction as the BAM one where they, where they got the very big verdict. I think that verdict's gonna be brought down. I think they'll lose the next ones too, but we're holding on to them for the trust. Why? Because Abbott's a great company. In the end, these are product liability suits, they are not mass tort action like J&J, and I think we'll come out ahead of the game. They've got four great product lines that are selling fabulously.",Monologue/Top of Show,
