ticker,market_cap,lookup_status,bucket
0H6G,,no_cap,
0HBH,,no_cap,
0HDY,,no_cap,
0HLQ,,no_cap,
0J4G,,no_cap,
0K7J,,no_cap,
0LDR,,no_cap,
0PT,,no_cap,
0QYK,,no_cap,
0R16,,no_cap,
0R2J,,no_cap,
1FA,,no_cap,
2BH,,no_cap,
2HQ,,no_cap,
35G,,no_cap,
600941,,no_cap,
601888,,no_cap,
603912,,no_cap,
788,,no_cap,
847,,no_cap,
9WY,,no_cap,
A,33875703808.0,success,Large-cap
AA,18570647552.0,success,Large-cap
AAL,8035906560.0,success,Mid-cap
AAP,3431525376.0,success,Mid-cap
AAPL,3915968151552.0,success,Mega-cap
AB,3577864960.0,success,Mid-cap
ABBV,368645439488.0,success,Mega-cap
ABCL,1170199424.0,success,Small-cap
ABG,3908154880.0,success,Mid-cap
ABM,2328113408.0,success,Mid-cap
ABNB,82439168000.0,success,Large-cap
ABT,176479076352.0,success,Large-cap
ABX,860225152.0,success,Small-cap
ACAD,3709962752.0,success,Mid-cap
ACGL,34725912576.0,success,Large-cap
ACHR,4544177152.0,success,Mid-cap
ACI,8530957824.0,success,Mid-cap
ACLS,3622448896.0,success,Mid-cap
ACM,11179587584.0,success,Large-cap
ACN,119394418688.0,success,Large-cap
ADB,,no_cap,
ADI,169865756672.0,success,Large-cap
ADM,32262875136.0,success,Large-cap
ADMA,2536395008.0,success,Mid-cap
ADNT,1621814144.0,success,Small-cap
ADP,79644041216.0,success,Large-cap
ADSK,50735841280.0,success,Large-cap
ADUS,1739822208.0,success,Small-cap
AEO,3236822016.0,success,Mid-cap
AEP,73049489408.0,success,Large-cap
AER,25062002688.0,success,Large-cap
AFL,59214393344.0,success,Large-cap
AFRM,19860056064.0,success,Large-cap
AGCO,8345987584.0,success,Mid-cap
AI,1383172480.0,success,Small-cap
AIG,41363382272.0,success,Large-cap
AIR,4881063936.0,success,Mid-cap
AIT,10733008896.0,success,Large-cap
AJG,57377005568.0,success,Large-cap
AKAM,13306017792.0,success,Large-cap
ALAB,29292212224.0,success,Large-cap
ALB,21853872128.0,success,Large-cap
ALC,40351293440.0,success,Large-cap
ALGN,13358769152.0,success,Large-cap
ALGT,1628230528.0,success,Small-cap
ALK,4876847104.0,success,Mid-cap
ALKS,5536111104.0,success,Mid-cap
ALL-PRI,,no_cap,
ALLY,13056034816.0,success,Large-cap
ALTO,378982592.0,success,Small-cap
AM,10125606912.0,success,Large-cap
AMAG,,no_cap,
AMAT,312888623104.0,success,Mega-cap
AMBA,2502096640.0,success,Mid-cap
AMC,973271360.0,success,Small-cap
AMCR,18759055360.0,success,Large-cap
AMD,420841652224.0,success,Mega-cap
AME,52707954688.0,success,Large-cap
AMGN,187714142208.0,success,Large-cap
AMKR,14799287296.0,success,Large-cap
AMN,748771456.0,success,Small-cap
AMP,43493810176.0,success,Large-cap
AMRC,1354787456.0,success,Small-cap
AMRN,318788576.0,success,Small-cap
AMSC,1796887680.0,success,Small-cap
AMT,82542845952.0,success,Large-cap
AMTX,158779200.0,success,Small-cap
AMZN,2672431464448.0,success,Mega-cap
AN,6796669952.0,success,Mid-cap
ANET,194345467904.0,success,Large-cap
ANF,4193673472.0,success,Mid-cap
ANGI,314136192.0,success,Small-cap
APA,12934454272.0,success,Large-cap
APCB,,no_cap,
APG,19363749888.0,success,Large-cap
APH,180701708288.0,success,Large-cap
APLE,2952931584.0,success,Mid-cap
APP,157024043008.0,success,Large-cap
APPN,1583478144.0,success,Small-cap
APPS,406460800.0,success,Small-cap
APTV,14681999360.0,success,Large-cap
AQB,5764869.0,success,Small-cap
AQN,4920224768.0,success,Mid-cap
AR,11211798528.0,success,Large-cap
ARCB,2435467264.0,success,Mid-cap
ARE,8250830848.0,success,Mid-cap
ARLO,1550472064.0,success,Small-cap
ARLP,3309104128.0,success,Mid-cap
ARM,169218850816.0,success,Large-cap
ARNC34,,no_cap,
ARRY,1167727872.0,success,Small-cap
ARW,8632540160.0,success,Mid-cap
