sequence_id,ticker,start_date,end_date,total_signals,kept_signals,has_cramer_owns,has_hold_recommendation,first_hold_date,end_reason,entry_alpha,entry_price,gics_sector,vix_at_entry
1,003016,2024-08-13,2024-08-13,1,1,False,False,,gap_expired,0.834876367,44.41398479,Industrials,18.12
2,0H6G,2018-05-08,2018-05-08,1,1,False,False,,gap_expired,0.320502989,8.965144495,Utilities,14.71
3,0H6G,2018-12-13,2018-12-13,1,1,False,False,,gap_expired,0.0304289,12.125516741,Utilities,20.65
4,0H6G,2021-10-28,2021-10-28,1,1,False,False,,gap_expired,0.204065762,21.29006077,Utilities,16.53
5,0H6G,2024-09-09,2024-09-09,1,1,False,False,,gap_expired,-0.373757362,14.96263114,Utilities,19.45
6,0HBH,2018-06-21,2018-06-21,1,1,False,False,,gap_expired,0.387455921,130.738186639,Basic Materials,14.64
7,0HBH,2020-07-22,2020-08-26,2,1,False,True,,gap_expired,-0.344374828,253.276334836,Basic Materials,24.32
8,0HBH,2020-11-06,2020-11-06,1,1,False,True,,gap_expired,-0.296942798,280.342666668,Basic Materials,24.86
9,0HDY,2022-02-01,2022-02-01,1,1,False,False,,gap_expired,0.616709481,13.623727095,Energy,21.96
10,0HLQ,2022-04-12,2022-04-12,1,1,False,False,,gap_expired,0.005826209,42.0859487,Financial Services,24.26
11,0J4G,2018-01-16,2018-01-16,1,1,False,False,,gap_expired,-0.164769817,46.87978197,Energy,11.66
12,0J4G,2020-04-28,2020-04-28,1,1,False,False,,gap_expired,0.0544636,15.138979497,Energy,33.57
13,0K7J,2018-04-23,2018-04-27,2,1,False,False,,gap_expired,-0.580125635,18.656651102,Consumer Cyclical,16.34
14,0K7J,2018-08-01,2018-08-01,1,1,False,False,,gap_expired,-0.427843722,18.38761326,Consumer Cyclical,13.15
15,0K7J,2018-11-19,2018-11-19,1,1,False,True,,gap_expired,-0.228793053,14.957295414,Consumer Cyclical,20.1
16,0K7J,2020-07-20,2020-07-20,1,1,False,False,,gap_expired,0.357216328,13.043640186,Consumer Cyclical,24.46
17,0K7J,2021-02-05,2021-02-05,1,1,False,False,,gap_expired,-0.302102822,21.232365348,Consumer Cyclical,20.87
18,0K7J,2021-05-10,2021-08-02,3,2,False,False,,gap_expired,-0.174788509,23.68091787,Consumer Cyclical,19.66
19,0K7J,2022-03-02,2022-03-02,1,1,False,False,,gap_expired,-0.156001181,20.032965583,Consumer Cyclical,30.74
20,0K7J,2022-06-14,2022-06-14,1,1,False,False,,gap_expired,-0.130364563,15.861723937,Consumer Cyclical,32.69
21,0K7J,2023-08-01,2023-09-21,3,2,False,True,,gap_expired,-0.387156816,9.517658762,Consumer Cyclical,13.93
22,0LDR,2018-12-18,2019-01-30,3,2,False,False,,gap_expired,0.431820375,48.25,Healthcare,25.58
23,0LDR,2019-05-07,2019-05-07,1,1,False,False,,gap_expired,1.820191554,61.57,Healthcare,19.32
24,0LDR,2019-12-09,2020-04-14,14,5,False,True,,gap_expired,1.259399878,78.45,Healthcare,15.86
25,0LDR,2020-08-05,2021-01-08,8,3,False,True,,gap_expired,-0.663756218,216.0,Healthcare,22.99
26,0LDR,2021-03-15,2021-03-29,2,2,False,True,,gap_expired,-0.470464298,204.0,Healthcare,20.03
27,0LDR,2022-02-01,2022-02-01,1,1,False,False,,gap_expired,-0.45218559,80.76,Healthcare,21.96
28,0LDR,2023-01-31,2023-01-31,1,1,False,False,,gap_expired,-0.567676393,29.5,Healthcare,19.4
29,0LDR,2023-12-05,2023-12-05,1,1,False,True,,gap_expired,-0.755687442,18.74,Healthcare,12.85
30,0PT,2021-08-24,2021-08-24,1,1,False,False,,gap_expired,-0.476234611,64.0,Healthcare,17.22
31,0PT,2022-01-12,2022-01-12,1,1,False,True,,gap_expired,0.598342916,38.38,Healthcare,17.62
32,0QYK,2018-01-12,2018-01-22,2,2,False,True,,gap_expired,-0.285589476,156.167096355,Consumer Cyclical,10.16
33,0QYK,2019-12-18,2019-12-18,1,1,False,False,,gap_expired,-0.338355399,133.606202841,Consumer Cyclical,12.58
34,0QYK,2020-04-21,2020-06-10,3,2,False,True,,gap_expired,0.202469065,70.809409432,Consumer Cyclical,45.41
35,0QYK,2020-09-17,2020-12-14,4,3,False,False,,gap_expired,-0.271890649,76.699605985,Consumer Cyclical,26.46
36,0QYK,2021-02-22,2022-03-24,15,9,True,True,2021-05-25,gap_expired,-0.45077263,126.411973471,Consumer Cyclical,23.45
37,0QYK,2022-11-04,2024-07-09,16,10,True,True,2022-11-04,gap_expired,0.150805648,68.398802738,Consumer Cyclical,24.55
38,0R16,2018-03-12,2018-07-17,11,2,False,False,,gap_expired,0.157930313,132.255996406,Consumer Cyclical,15.78
39,0R16,2018-11-02,2020-02-07,29,7,False,True,,gap_expired,-0.028947725,149.848556381,Consumer Cyclical,19.51
40,0R16,2020-06-16,2020-06-16,1,1,False,False,,gap_expired,-0.117613179,169.206365112,Consumer Cyclical,33.67
41,0R16,2020-10-08,2020-12-03,2,1,False,True,,gap_expired,-0.163787073,201.252366378,Consumer Cyclical,26.36
42,0R16,2021-03-03,2021-03-03,1,1,False,False,,gap_expired,0.01531758,185.042690211,Consumer Cyclical,26.67
43,0R16,2021-07-23,2021-07-26,2,1,False,False,,gap_expired,0.18363052,218.411199314,Consumer Cyclical,17.2
44,0R16,2021-10-06,2021-10-06,1,1,False,False,,gap_expired,0.121183987,225.053508352,Consumer Cyclical,21.0
45,0R16,2021-12-17,2022-01-21,3,1,False,False,,gap_expired,0.201510873,236.913540479,Consumer Cyclical,21.57
46,0R16,2022-04-13,2022-05-06,2,1,False,False,,gap_expired,0.233979982,230.615616394,Consumer Cyclical,21.82
47,0R16,2022-08-18,2022-12-01,6,3,False,False,,gap_expired,0.029790707,245.373900288,Consumer Cyclical,19.56
48,0R16,2023-04-17,2023-04-21,2,1,False,False,,gap_expired,-0.261918963,271.552124647,Consumer Cyclical,16.95
49,0R16,2023-08-30,2023-09-07,2,1,False,False,,gap_expired,-0.206830882,268.590864062,Consumer Cyclical,13.88
50,0R16,2023-12-01,2023-12-01,1,1,False,True,,gap_expired,-0.291193423,271.898467948,Consumer Cyclical,12.63
51,0R16,2024-03-12,2024-03-12,1,1,False,False,,gap_expired,-0.045408078,280.420917986,Consumer Cyclical,13.84
52,0R16,2024-07-02,2024-10-11,5,2,False,True,,gap_expired,0.056679579,239.9816188,Consumer Cyclical,12.03
53,0R2J,2019-07-29,2020-01-06,12,4,False,True,,gap_expired,0.261048883,46.919556616,Basic Materials,12.83
54,0R2J,2023-04-18,2023-04-18,1,1,False,False,,gap_expired,-0.047122166,52.982905008,Basic Materials,16.83
55,0R2J,2023-09-19,2023-09-19,1,1,False,False,,gap_expired,0.425833975,47.415720562,Basic Materials,14.11
56,0R2J,2024-05-06,2024-05-06,1,1,False,False,,gap_expired,0.707118281,64.226604385,Basic Materials,13.49
