bucket,tier,n,mean_alpha,median_alpha,se_alpha,t_stat,p_value,sufficient,test
Mega-cap,portfolio,51,0.09429330950980393,0.012008505,0.03731040342547697,2.5272658790233518,0.014703575313722881,True,within_bucket_gradient
Mega-cap,hold_rec,135,0.07581484749629631,0.034009419,0.03309073930204703,2.2911197844288216,0.023516971606706624,True,within_bucket_gradient
Mega-cap,no_hold,171,0.0680301445497076,0.048850919,0.023220814793584697,2.9297053163053755,0.0038589297484270747,True,within_bucket_gradient
Large-cap,portfolio,150,0.05646831780666666,0.020567488000000002,0.03630844459992643,1.5552392405920101,0.12201060497101988,True,within_bucket_gradient
Large-cap,hold_rec,881,0.033998952965947786,-0.017015176,0.014903128190351205,2.2813299685605517,0.022767066765630336,True,within_bucket_gradient
Large-cap,no_hold,1762,0.013995720332009085,-0.045623003499999995,0.013326340134123506,1.0502298598976594,0.2937565453246111,True,within_bucket_gradient
Mid-cap,portfolio,34,-0.07131950976470587,-0.1716454315,0.06971216397170592,-1.0230568913863056,0.3137225333539219,True,within_bucket_gradient
Mid-cap,hold_rec,256,-0.01905955789453124,-0.109991055,0.037976451845874865,-0.5018783211207646,0.6161861689569799,True,within_bucket_gradient
Mid-cap,no_hold,672,-0.019411570043154754,-0.096647802,0.021547584659949534,-0.9008698816826097,0.367980723816993,True,within_bucket_gradient
Small-cap,portfolio,5,,,,,,False,within_bucket_gradient
Small-cap,hold_rec,148,-0.1479803661891892,-0.29695071949999996,0.04813934273223527,-3.074000553191973,0.0025183048581909513,True,within_bucket_gradient
Small-cap,no_hold,385,-0.24521561676883116,-0.327650644,0.033668388068778025,-7.2832597826751595,1.8622584411610522e-12,True,within_bucket_gradient
Mega-cap,,171,0.0680301445497076,,,2.9297053163053755,0.0038589297484270747,,casual_interaction
Large-cap,,1762,0.013995720332009085,,,1.0502298598976594,0.2937565453246111,,casual_interaction
Mid-cap,,672,-0.019411570043154754,,,-0.9008698816826097,0.367980723816993,,casual_interaction
Small-cap,,385,-0.24521561676883116,,,-7.2832597826751595,1.8622584411610522e-12,,casual_interaction
